user_id,movie,rating
1488844,Isle of Man TT 2004 Review,3
822109,Isle of Man TT 2004 Review,5
885013,Isle of Man TT 2004 Review,4
2059652,Character,4
1666394,Character,3
1759415,Character,4
1025579,Paula Abdul's Get Up & Dance,4
712664,Paula Abdul's Get Up & Dance,5
1331154,Paula Abdul's Get Up & Dance,4
1065039,The Rise and Fall of ECW,3
1544320,The Rise and Fall of ECW,1
410199,The Rise and Fall of ECW,5
1745265,Sick,5
885013,Sick,5
1997470,Sick,5
2031561,8 Man,1
1176140,8 Man,1
2336133,8 Man,2
951709,What the #$*! Do We Know!?,2
585247,What the #$*! Do We Know!?,1
2625420,What the #$*! Do We Know!?,2
824097,Class of Nuke 'Em High 2,2
2630686,Class of Nuke 'Em High 2,5
644003,Class of Nuke 'Em High 2,3
1329923,Fighter,2
2472537,Fighter,2
403531,Fighter,5
699878,Full Frame: Documentary Shorts,2
2625420,Full Frame: Documentary Shorts,2
1874659,Full Frame: Documentary Shorts,5
862759,My Favorite Brunette,5
1166950,My Favorite Brunette,2
669077,My Favorite Brunette,3
1109700,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4
1056998,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,5
903692,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,3
140274,Nature: Antarctica,5
2171849,Nature: Antarctica,5
776067,Nature: Antarctica,4
1076258,Neil Diamond: Greatest Hits Live,3
1663216,Neil Diamond: Greatest Hits Live,2
549526,Neil Diamond: Greatest Hits Live,3
243437,Screamers,5
862622,Screamers,4
1513144,Screamers,2
554875,7 Seconds,2
2480084,7 Seconds,3
1794216,7 Seconds,3
2187374,Immortal Beloved,4
2503129,Immortal Beloved,5
263315,Immortal Beloved,3
1734805,By Dawn's Early Light,4
205706,By Dawn's Early Light,4
712664,By Dawn's Early Light,4
887273,Seeta Aur Geeta,3
1294425,Seeta Aur Geeta,5
693789,Seeta Aur Geeta,4
2625420,Strange Relations,2
1508073,Strange Relations,3
1371016,Strange Relations,3
1296163,Chump Change,4
1075579,Chump Change,3
973356,Chump Change,3
1170033,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,1
2209675,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,2
326587,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,3
1512138,My Bloody Valentine,5
989704,My Bloody Valentine,1
1129423,My Bloody Valentine,3
1744889,Inspector Morse 31: Death Is Now My Neighbour,4
543981,Inspector Morse 31: Death Is Now My Neighbour,3
2360117,Inspector Morse 31: Death Is Now My Neighbour,3
829326,Never Die Alone,5
2433426,Never Die Alone,5
395100,Never Die Alone,4
712664,Sesame Street: Elmo's World: The Street We Live On,3
2336678,Sesame Street: Elmo's World: The Street We Live On,3
2422606,Sesame Street: Elmo's World: The Street We Live On,3
1567328,Lilo and Stitch,4
2091010,Lilo and Stitch,4
2537219,Lilo and Stitch,4
1392773,Boycott,4
1697479,Boycott,4
1990901,Boycott,5
1712147,Something's Gotta Give,4
14690,Something's Gotta Give,4
2415594,Something's Gotta Give,5
2173336,Classic Albums: Meat Loaf: Bat Out of Hell,5
2473170,Classic Albums: Meat Loaf: Bat Out of Hell,5
900816,Classic Albums: Meat Loaf: Bat Out of Hell,3
1331887,ABC Primetime: Mel Gibson's The Passion of the Christ,2
566690,ABC Primetime: Mel Gibson's The Passion of the Christ,5
1623132,ABC Primetime: Mel Gibson's The Passion of the Christ,4
889439,Aqua Teen Hunger Force: Vol: 1,4
1228922,Aqua Teen Hunger Force: Vol: 1,5
122601,Aqua Teen Hunger Force: Vol: 1,5
1623180,Ashtanga Yoga: Beginner's Practice with Nicki Doane,5
282486,Ashtanga Yoga: Beginner's Practice with Nicki Doane,3
1987434,Ashtanga Yoga: Beginner's Practice with Nicki Doane,4
1788036,Ferngully 2: The Magical Rescue,4
259985,Ferngully 2: The Magical Rescue,1
756049,Ferngully 2: The Magical Rescue,2
282486,Lady Chatterley,2
1443524,Lady Chatterley,3
1319997,Lady Chatterley,4
903692,Zatoichi's Conspiracy,3
1483986,Zatoichi's Conspiracy,5
1992227,Zatoichi's Conspiracy,1
41412,Daydream Obsession,3
1033971,Daydream Obsession,5
724592,Daydream Obsession,5
844736,Love Reinvented,5
2429465,Love Reinvented,1
1420990,Love Reinvented,2
844736,Pitcher and the Pin-Up,3
273292,Pitcher and the Pin-Up,2
2387785,Pitcher and the Pin-Up,3
950515,Horror Vision,4
2503691,Horror Vision,3
263315,Horror Vision,3
1329182,Searching for Paradise,2
62996,Searching for Paradise,1
1181550,Searching for Paradise,2
1436762,Silent Service,3
1608985,Silent Service,2
2298339,Silent Service,2
305151,Spitfire Grill,4
497196,Spitfire Grill,3
2327803,Spitfire Grill,1
1734805,The Love Letter,5
716091,The Love Letter,3
1990901,The Love Letter,4
1468812,Rudolph the Red-Nosed Reindeer,3
1744889,Rudolph the Red-Nosed Reindeer,1
1174530,Rudolph the Red-Nosed Reindeer,3
306466,The Bad and the Beautiful,4
2480084,The Bad and the Beautiful,4
449288,The Bad and the Beautiful,2
1527030,Justice League,3
1990901,Justice League,4
2439005,Justice League,4
2059652,Devo: The Complete Truth About De-evolution,5
1567328,Devo: The Complete Truth About De-evolution,3
132390,Devo: The Complete Truth About De-evolution,3
1732628,A Yank in the R:A:F:,5
1053359,A Yank in the R:A:F:,4
1657359,A Yank in the R:A:F:,4
41412,Jonah: A VeggieTales Movie: Bonus Material,3
247794,Jonah: A VeggieTales Movie: Bonus Material,3
2039337,Jonah: A VeggieTales Movie: Bonus Material,2
2285616,The Weather Underground,3
428170,The Weather Underground,2
358544,The Weather Underground,4
1402412,The Bonesetter,4
1712147,The Bonesetter,4
899232,The Bonesetter,4
1907667,We're Not Married,2
764750,We're Not Married,3
758691,We're Not Married,1
1306185,Jade,3
2414930,Jade,1
160650,Jade,2
2423875,Carandiru,2
306466,Carandiru,2
1481271,Carandiru,3
2482233,Richard III,5
2618229,Richard III,5
2467008,Richard III,4
1990901,Dragonheart,2
1987434,Dragonheart,4
1401310,Dragonheart,4
1907667,Sex and the Beauties,4
1279874,Sex and the Beauties,4
1513370,Sex and the Beauties,4
2517152,The Libertine,3
2625420,The Libertine,2
2312349,The Libertine,2
1224344,Ricky Martin: One Night Only,1
1234158,Ricky Martin: One Night Only,2
2031561,Ricky Martin: One Night Only,4
635363,Ken Burns' America: Empire of the Air,5
950827,Ken Burns' America: Empire of the Air,3
834184,Ken Burns' America: Empire of the Air,3
862759,Crash Dive,5
1079762,Crash Dive,5
656399,Crash Dive,4
2241806,Outside the Law,4
41412,Outside the Law,4
1058950,Outside the Law,4
166830,Lost in the Pershing Point Hotel,1
68845,Lost in the Pershing Point Hotel,1
408459,Lost in the Pershing Point Hotel,5
1869632,Barbarian Queen 2,2
2309150,Barbarian Queen 2,2
1261894,Barbarian Queen 2,2
546578,Vampire Journals,2
2028934,Vampire Journals,2
310856,Vampire Journals,1
1997470,Invader Zim,2
1608985,Invader Zim,3
2571254,Invader Zim,3
2431286,WWE: Armageddon 2003,5
1081716,WWE: Armageddon 2003,5
1329923,WWE: Armageddon 2003,5
1688444,Tai Chi: The 24 Forms,3
973736,Tai Chi: The 24 Forms,2
1602923,Tai Chi: The 24 Forms,1
846887,Maya Lin: A Strong Clear Vision,1
780936,Maya Lin: A Strong Clear Vision,3
745867,Maya Lin: A Strong Clear Vision,5
2003092,At Home Among Strangers,4
907840,At Home Among Strangers,5
862759,At Home Among Strangers,2
699878,Davy Crockett: 50th Anniversary Double Feature,2
2519847,Davy Crockett: 50th Anniversary Double Feature,2
23244,Davy Crockett: 50th Anniversary Double Feature,4
640910,6ixtynin9,5
853261,6ixtynin9,5
693789,6ixtynin9,5
1910881,Grind,3
1127292,Grind,4
327122,Grind,4
2557615,I Love Lucy: Season 2,3
1120091,I Love Lucy: Season 2,3
1093275,I Love Lucy: Season 2,3
1527030,Congo,1
1056998,Congo,4
1174530,Congo,5
1734805,Jingle All the Way,4
712664,Jingle All the Way,1
69867,Jingle All the Way,1
1943087,The Killing,3
712664,The Killing,1
1907667,The Killing,5
205706,Winter Kills,4
712664,Winter Kills,5
1990901,Winter Kills,5
1265764,Antarctica: IMAX,1
1488844,Antarctica: IMAX,3
1109700,Antarctica: IMAX,4
2164355,The Frogmen,3
1945809,The Frogmen,3
1663216,The Frogmen,3
1109700,Silkwood,4
145212,Silkwood,3
1977959,Silkwood,3
716091,The Powerpuff Girls Movie,3
2059652,The Powerpuff Girls Movie,4
554875,The Powerpuff Girls Movie,2
1294425,Elfen Lied,5
1281187,Elfen Lied,4
2367275,Elfen Lied,4
12771,Iron Monkey 2,4
2353323,Iron Monkey 2,3
918023,Iron Monkey 2,4
2129835,Louder Than Bombs,1
447223,Louder Than Bombs,2
592010,Louder Than Bombs,3
431609,Record of Lodoss War: Chronicles of the Heroic Knight,5
272772,Record of Lodoss War: Chronicles of the Heroic Knight,4
955917,Record of Lodoss War: Chronicles of the Heroic Knight,5
41412,Chain of Command,4
1735266,Chain of Command,4
1294425,Chain of Command,4
712664,The Lemon Drop Kid,2
928743,The Lemon Drop Kid,2
1331887,The Lemon Drop Kid,2
1624421,WWE: Royal Rumble 2005,3
1056998,WWE: Royal Rumble 2005,5
