Character,31.840941701726752,3
Paula Abdul's Get Up & Dance,26.646459492570852,3
The Rise and Fall of ECW,40.69293940470694,4
Sick,30.219040624202172,3
8 Man,40.29532640938888,4
What the #$*! Do We Know!?,15.783671189343702,2
Class of Nuke 'Em High 2,20.52912075588946,2
Fighter,30.881563526499026,3
Full Frame: Documentary Shorts,24.472036731901035,2
My Favorite Brunette,31.430677970763156,3
Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,44.00354843263418,4
Nature: Antarctica,29.782885267505897,3
Neil Diamond: Greatest Hits Live,41.12825209841803,4
Screamers,26.858682587820784,3
7 Seconds,36.5378162120012,4
Immortal Beloved,27.473962273249196,3
By Dawn's Early Light,32.50085924056618,3
Seeta Aur Geeta,36.84316991387327,4
Strange Relations,37.16400364185946,4
Chump Change,32.46492135614151,3
Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,33.10816659590014,3
My Bloody Valentine,28.460817840317485,3
Inspector Morse 31: Death Is Now My Neighbour,31.890784869253828,3
Never Die Alone,38.30328958818827,4
Sesame Street: Elmo's World: The Street We Live On,36.366547073729436,4
Lilo and Stitch,30.431683270328744,3
Boycott,39.38951551897931,4
Something's Gotta Give,42.340657842818814,4
Classic Albums: Meat Loaf: Bat Out of Hell,37.64478685087157,4
ABC Primetime: Mel Gibson's The Passion of the Christ,36.88001101863195,4
Aqua Teen Hunger Force: Vol: 1,32.45689002845743,3
Ashtanga Yoga: Beginner's Practice with Nicki Doane,40.70868878823633,4
Ferngully 2: The Magical Rescue,35.3559909896828,4
Lady Chatterley,22.79539172708096,2
Zatoichi's Conspiracy,26.227679825965946,3
Daydream Obsession,33.267817499949125,3
Love Reinvented,29.354023895233173,3
Pitcher and the PinUp,45.357395057015836,5
Horror Vision,27.107292165364633,3
Searching for Paradise,33.896421840989206,3
Silent Service,25.101460984808273,3
Spitfire Grill,21.652001543098905,2
The Love Letter,30.975834449796974,3
Rudolph the RedNosed Reindeer,37.98452748577246,4
The Bad and the Beautiful,11.23403552156849,1
Justice League,33.68969242288884,3
Devo: The Complete Truth About Deevolution,40.29883304982187,4
A Yank in the R:A:F:,32.11996827864796,3
Jonah: A VeggieTales Movie: Bonus Material,37.253518590607634,4
The Weather Underground,27.594276599879755,3
The Bonesetter,32.20259536043627,3
We're Not Married,42.600372408554406,4
Jade,15.318173754564182,2
Carandiru,22.979231355472734,2
Richard III,17.59132974988497,2
Dragonheart,39.638271469632514,4
Sex and the Beauties,23.59232938790185,2
The Libertine,29.37889912954674,3
Ricky Martin: One Night Only,30.39588794083477,3
Ken Burns' America: Empire of the Air,29.38257372209453,3
Crash Dive,34.10388486902484,3
Outside the Law,44.67285306937124,4
Lost in the Pershing Point Hotel,28.11030721526875,3
Barbarian Queen 2,30.343231060607632,3
Vampire Journals,26.322474330716023,3
Invader Zim,22.783732279066307,2
WWE: Armageddon 2003,24.128007157505955,2
Tai Chi: The 24 Forms,42.49388529750554,4
Maya Lin: A Strong Clear Vision,26.420782623202577,3
At Home Among Strangers,32.153063347839634,3
Davy Crockett: 50th Anniversary Double Feature,23.40478362625409,2
6ixtynin9,33.2466529752778,3
Grind,44.67826059882746,4
I Love Lucy: Season 2,37.57005351596743,4
Congo,31.914211528404138,3
Jingle All the Way,23.796629964078498,2
The Killing,26.951390831717834,3
Winter Kills,33.628251609036994,3
Antarctica: IMAX,37.99622116656316,4
The Frogmen,30.562339171519568,3
Silkwood,29.501275369303478,3
The Powerpuff Girls Movie,30.58799642183006,3
Elfen Lied,25.237383086258724,3
Iron Monkey 2,37.754638827876306,4
Louder Than Bombs,34.85385643415206,3
Record of Lodoss War: Chronicles of the Heroic Knight,26.382825968720642,3
Chain of Command,33.640459098881415,3
The Lemon Drop Kid,30.96042224300799,3
WWE: Royal Rumble 2005,18.826046967485507,2
ECW: Cyberslam '99,30.099421988398603,3
They Came Back,41.91377558969844,4
G3: Live in Concert,40.04900198015936,4
Dona Herlinda and Her Son,31.17656712005434,3
Inside the Space Station,35.82183496204112,4
Mostly Martha,20.63661006526388,2
The Battle of Algiers: Bonus Material,31.944741665972288,3
A Fishy Story,31.94152264586619,3
Sam the Iron Bridge,26.25989709383378,3
Complete Shamanic Princess,23.18411760793522,2
